marka,seri,model,baslik,yil,km,fiyat,il_ilce,image_path
Volkswagen,Passat,1.6 Tdi Business,Sahibinden Volkswagen Passat 1.6 TDi Business 2020 Model,2020,100000,1650000,Muş Bulanık,data/processed_images/car_20250130_125513_page_29_idx_23.jpg
Bmw,2 Serisi,216D Gran Coupe First Edition Sport Line,Sahibinden BMW bu fiyata bu donanım yok.,2020,136000,1620000,Tekirdağ Çorlu,data/processed_images/car_20250130_125513_page_29_idx_24.jpg
Peugeot,307,1.4 Look,Sahibinden ihtiyaçtan satılık ..!!!,2005,270000,329000,Ankara Keçiören,data/processed_images/car_20250130_125513_page_29_idx_25.jpg
Ford,Focus,1.5 Tdci Style,Sahibinden Ford Focus 1.5 TDCi Style 2015 Model,2015,218000,750000,Şanlıurfa Eyyübiye,data/processed_images/car_20250130_125513_page_29_idx_26.jpg
Audi,A3,Sedan 1.6 Tdi Dynamic,Sahibinden Audi A3 Sedan 1.6 TDI Dynamic 2016 Model,2016,178000,1265000,Eskişehir Odunpazarı,data/processed_images/car_20250130_125513_page_29_idx_27.jpg
Opel,Insignia,2.0 Cdti Edition,Galeriden Opel Insignia 2.0 CDTI Edition 2010 Model Antalya,2010,200000,595000,Antalya Muratpaşa,data/processed_images/car_20250130_125513_page_29_idx_28.jpg
Mercedes-Benz,C,180 Amg,BOYASIZ / TRAMERSİZ / YETKİLİ SERVİS BAKIMLI / BALIKESIRDE,2015,161000,1850000,Balıkesir Edremit,data/processed_images/car_20250130_125513_page_29_idx_30.jpg
Mercedes-Benz,C,200 D Amg,Sahibinden Mercedes - Benz C 200 D AMG 2016 Model,2016,36000,2225000,Bolu Merkez,data/processed_images/car_20250130_125513_page_29_idx_31.jpg
Volkswagen,Passat,1.6 Tdi Bluemotion Business,Sahibinden Volkswagen Passat 1.6 TDi BlueMotion Business 2019 Model,2019,14900,2020000,Bursa Osmangazi,data/processed_images/car_20250130_125513_page_29_idx_32.jpg
Mercedes-Benz,E,180 Premium,Sahibinden Mercedes - Benz E 180 Premium 2015 Model,2015,176000,1860000,Denizli Merkezefendi,data/processed_images/car_20250130_125513_page_29_idx_33.jpg
Audi,A3,Sedan 35 Tfsi Advanced,Sahibinden Audi A3 Sedan 35 TFSI Advanced 2021 BOYASIZ TRAMERSİZ l,2021,166750,1680000,Karaman Merkez,data/processed_images/car_20250130_125513_page_29_idx_34.jpg
Renault,Fluence,1.5 Dci Extreme,Sahibinden Renault Fluence 1.5 dCi Extreme 2010 Model,2010,312000,415000,Çankırı Merkez,data/processed_images/car_20250130_125513_page_29_idx_35.jpg
Hyundai,Getz,1.4 Dohc Start,Sahibinden Hyundai Getz 1.4 DOHC Start 2010 Model,2010,106000,568000,Kırıkkale Merkez,data/processed_images/car_20250130_125513_page_29_idx_36.jpg
Volkswagen,Polo,1.2 Trendline,Sahibinden Volkswagen Polo 1.2 Trendline 2012 Model,2012,147000,575000,Erzurum Aziziye,data/processed_images/car_20250130_125513_page_29_idx_37.jpg
Honda,Jazz,1.4 Es Elite,Sorunsuz 1.4 ES Elite 2005 Model jazz,2005,203000,445000,İstanbul Tuzla,data/processed_images/car_20250130_125513_page_29_idx_38.jpg
Fiat,Punto,Grande 1.4 Fire Active,Sahibinden Fiat Punto Grande 1.4 Fire Active 2009 Model,2009,124000,450000,Tekirdağ Çorlu,data/processed_images/car_20250130_125513_page_29_idx_39.jpg
Tofaş,Doğan,Sl,Sahibinden Tofaş Doğan SL 1993 Model,1993,45000,330000,İstanbul Sultanbeyli,data/processed_images/car_20250130_125513_page_29_idx_40.jpg
Bmw,5 Serisi,520D Premium,Sahibinden BMW 5 Serisi 520d Premium 2008 Model,2008,381000,870000,Van Erciş,data/processed_images/car_20250130_125513_page_29_idx_41.jpg
Renault,Symbol,1.4 Extreme,Sahibinden Renault Symbol 1.4 Extreme 2008 Model,2008,84000,495000,Elazığ Merkez,data/processed_images/car_20250130_125513_page_29_idx_42.jpg
Ford,Focus,1.6 Ambiente,Sahibinden Ford Focus 1.6 Ambiente 2001 Model,2001,329000,385000,Ankara Keçiören,data/processed_images/car_20250130_125513_page_29_idx_43.jpg
Opel,Vectra,2.0 Gls,Sahibinden Opel Vectra 2.0 GLS 1993 Model,1993,350000,220000,Antalya Kepez,data/processed_images/car_20250130_125513_page_29_idx_44.jpg
Hyundai,Accent,1.5 Gls,Sahibinden Hyundai Accent 1.5 GLS 1998 Model,1998,300000,255000,Malatya Yeşilyurt,data/processed_images/car_20250130_125513_page_29_idx_45.jpg
Volvo,S40,1.9 T4,Sahibinden Volvo S40 1.9 T4 2001 Model otomatik,2001,180300,395000,Rize Merkez,data/processed_images/car_20250130_125513_page_29_idx_46.jpg
Opel,Astra,1.4 Classic,Sahibinden Opel Astra 1.4 Classic 2005 Model,2005,193000,475000,Van Edremit,data/processed_images/car_20250130_125513_page_29_idx_47.jpg
Hyundai,I20,1.2 Mpi Style,Sahibinden Hyundai i20 1.2 MPI Style 2017 Model,2017,147000,620000,Adana Seyhan,data/processed_images/car_20250130_125513_page_29_idx_48.jpg
Volvo,S40,1.6 D Prime,Sahibinden Volvo S40 1.6 D Prime 2010 Model,2010,200000,675000,Mersin Mezitli,data/processed_images/car_20250130_125513_page_29_idx_49.jpg
Fiat,Tipo,1.6 Slx,Sahibinden Fiat Tipo 1.6 SLX 2000 Model,2000,59500,255000,İzmir Bayraklı,data/processed_images/car_20250130_125519_page_30_idx_2.jpg
Toyota,Corolla,1.6 Advance,Sahibinden Toyota Corolla 1.6 Advance 2015 Model,2015,67000,990000,Ankara Mamak,data/processed_images/car_20250130_125519_page_30_idx_3.jpg
Tata,Indigo,1.4 Tdi Trend,Tata Indigo 1.4 TDI Trend 2005 Model Antalya,2005,155000,204000,Antalya Muratpaşa,data/processed_images/car_20250130_125519_page_30_idx_4.jpg
Volkswagen,Polo,1.4 Tdi Comfortline,Galeriden Volkswagen Polo 1.4 TDi Comfortline 2014 Model Antalya,2014,194000,519000,Antalya Muratpaşa,data/processed_images/car_20250130_125519_page_30_idx_5.jpg
Peugeot,301,1.6 Hdi Access,Galeriden Peugeot 301 1.6 HDi Access 2015 Model Antalya,2015,430000,375000,Antalya Muratpaşa,data/processed_images/car_20250130_125519_page_30_idx_6.jpg
Renault,R,19 1.6 Europa Rne,Renault R 19 1.6 Europa RNE 1998 Model Antalya,1998,270000,265000,Antalya Muratpaşa,data/processed_images/car_20250130_125519_page_30_idx_7.jpg
Hyundai,Getz,1.5 Crdi Vgt Start,Galeriden Hyundai Getz 1.5 CRDi VGT Start 2008 Model Antalya,2008,340000,265000,Antalya Muratpaşa,data/processed_images/car_20250130_125519_page_30_idx_8.jpg
Opel,Astra,1.6 Cdti Design,Galeriden Opel Astra 1.6 CDTI Design 2016 Model Antalya,2016,180000,565000,Antalya Muratpaşa,data/processed_images/car_20250130_125519_page_30_idx_9.jpg
Volkswagen,Polo,1.4 Tdi Trendline,Sahibinden Volkswagen Polo 1.4 TDi Trendline 2016 Model,2016,70000,715000,Ankara Yenimahalle,data/processed_images/car_20250130_125519_page_30_idx_10.jpg
Renault,Fluence,1.5 Dci Joy,Sahibinden Renault Fluence 1.5 dCi Joy 2014 Model,2014,238000,555555,Mersin Toroslar,data/processed_images/car_20250130_125519_page_30_idx_11.jpg
Volvo,S80,2.4 D5 Executive,Sahibinden Volvo S80 2.4 D5 Executive 2011 Model Eskişehir,2011,372000,950000,Eskişehir Odunpazarı,data/processed_images/car_20250130_125519_page_30_idx_12.jpg
Volkswagen,Polo,1.0 Tsi Comfortline,2021 MODEL 1.0TSI POLO COMFORTLİNE HATASIZ BOYASIZ OTOMATİK 53 BİN KM,2021,53000,1055000,İstanbul Güngören,data/processed_images/car_20250130_125519_page_30_idx_13.jpg
Mercedes-Benz,C,200 D Bluetec Amg,Galeriden Mercedes - Benz C 200 d BlueTEC AMG 2015 Model Antalya,2015,179000,1675000,Antalya Muratpaşa,data/processed_images/car_20250130_125519_page_30_idx_14.jpg
Renault,Fluence,1.5 Dci Touch,Galeriden Renault Fluence 1.5 dCi Touch 2015 Model Antalya,2015,92500,670000,Antalya Muratpaşa,data/processed_images/car_20250130_125519_page_30_idx_15.jpg
Renault,Megane,1.6 Joy,Sahibinden Renault Megane 1.6 Joy 2017 Model,2017,179000,759000,Ankara Sincan,data/processed_images/car_20250130_125519_page_30_idx_17.jpg
Renault,Megane,1.6 Sportway,Sahibinden Renault Megane 1.6 Sportway 2005 Model,2005,267000,415000,Ankara Etimesgut,data/processed_images/car_20250130_125519_page_30_idx_18.jpg
Volkswagen,Golf,1.2 Tsi Midline Plus,Sahibinden Volkswagen Golf 1.2 TSi Midline Plus 2014 Model,2014,160000,770000,Bitlis Ahlat,data/processed_images/car_20250130_125519_page_30_idx_19.jpg
Tofaş,Doğan,Sl,Sahibinden Tofaş 93 SLX motorlu Doğan Sl,1993,143000,185000,Ankara Pursaklar,data/processed_images/car_20250130_125519_page_30_idx_20.jpg
Hyundai,Accent,Era 1.4 Team,memurdan değişensiz Accent Era otomatik 2009 benzin LPG,2009,187000,535000,Van Edremit,data/processed_images/car_20250130_125519_page_30_idx_21.jpg
Volkswagen,Jetta,1.6 Tdi Highline,Sahibinden Volkswagen Jetta 1.6 TDi Highline 2015 Model,2015,165000,885000,İstanbul Arnavutköy,data/processed_images/car_20250130_125519_page_30_idx_22.jpg
Renault,Symbol,1.5 Dci Expression,Sahibinden Renault Symbol 1.5 dCi Expression 2011 Model,2011,258000,340000,İstanbul Esenyurt,data/processed_images/car_20250130_125519_page_30_idx_23.jpg
Honda,Civic,1.6 I-Vtec Es,Sahibinden Honda Civic 1.6 i-VTEC ES 2006 Model,2006,225000,510000,Mardin Artuklu,data/processed_images/car_20250130_125519_page_30_idx_24.jpg
Peugeot,206,1.4 Xt,Sahibinden Peugeot 206 1.4 XT 2004 Model,2004,251000,287000,Eskişehir Odunpazarı,data/processed_images/car_20250130_125519_page_30_idx_25.jpg
Ford,Focus,1.6 Tdci Titanium,Sahibinden Ford Focus 1.6 TDCi Titanium 2010 Model,2010,233000,574000,Ankara Keçiören,data/processed_images/car_20250130_125519_page_30_idx_26.jpg
Fiat,Egea,1.3 Multijet Easy,Sahibinden Fiat Egea 1.3 Multijet Easy 2016 Model,2016,180000,580000,Bartın Merkez,data/processed_images/car_20250130_125519_page_30_idx_27.jpg
Honda,Civic,1.6 I-Vtec Premium,Sahibinden Honda Civic 1.6 i-VTEC Premium 2012 Model,2012,220400,725000,Adana Çukurova,data/processed_images/car_20250130_125519_page_30_idx_28.jpg
Hyundai,Accent,1.5 Crdi Admire,Sahibinden Hyundai Accent 1.5 CRDi Admire 2006 Model,2006,288000,270000,Niğde Merkez,data/processed_images/car_20250130_125519_page_30_idx_29.jpg
Fiat,Egea,1.4 Fire Easy Plus,Sahibinden Fiat Egea 1.4 Fire Easy Plus 2023 Model,2023,15000,785000,Diyarbakır Çermik,data/processed_images/car_20250130_125519_page_30_idx_30.jpg
Fiat,Tempra,1.6 Sx A,Sahibinden Fiat Tempra 1.6 SX A 1993 Model,1993,153000,155000,Samsun Bafra,data/processed_images/car_20250130_125519_page_30_idx_31.jpg
Ford,Focus,1.6 Tdci Trend,Sahibinden Ford Focus 1.6 TDCi Trend 2012 Model,2012,252000,640000,Konya Ereğli,data/processed_images/car_20250130_125519_page_30_idx_32.jpg
Opel,Astra,1.6 Essentia Konfor,2012 MODEL ASTRA - EN DOLUSU - FULL PAKET - BRC LPG’Lİ…,2012,133000,565000,Erzurum Yakutiye,data/processed_images/car_20250130_125519_page_30_idx_33.jpg
Citroen,C5,1.6 Hdi Sx,Sahibinden Citroen C5 1.6 HDi SX 2010 Model,2010,308000,420000,Gaziantep Şehitkamil,data/processed_images/car_20250130_125519_page_30_idx_34.jpg
Renault,Clio,1.5 Dci Icon,Sahibinden Renault Clio 1.5 dCi Icon 2016 Model,2016,169000,785000,İstanbul Çekmeköy,data/processed_images/car_20250130_125519_page_30_idx_35.jpg
Tofaş,Şahin,1.6,Sahibinden Tofaş Şahin 1.6 1991 Model,1991,296111,115000,Elazığ Merkez,data/processed_images/car_20250130_125519_page_30_idx_36.jpg
Renault,Clio,1.5 Dci Joy,Sahibinden Renault Clio 1.5 dCi Joy 2017 Model,2017,132000,645000,İstanbul Beyoğlu,data/processed_images/car_20250130_125519_page_30_idx_37.jpg
Seat,Cordoba,1.4 Tdi Stylance,Sahibinden Seat Cordoba 1.4 TDI Stylance 2008 Model,2008,285000,350000,Gaziantep Şahinbey,data/processed_images/car_20250130_125519_page_30_idx_38.jpg
Fiat,Egea,1.4 Fire Easy,Sahibinden Fiat Egea 1.4 Fire Easy 2019 Model,2019,89000,620000,Muğla Seydikemer,data/processed_images/car_20250130_125519_page_30_idx_39.jpg
Fiat,Brava,1.6 Sx,Sahibinden Fiat Brava 1.6 SX 2000 Model,2000,334000,175000,Kayseri Develi,data/processed_images/car_20250130_125519_page_30_idx_40.jpg
Fiat,Palio,1.6 Hl Weekend,Sahibinden Fiat Palio 1.6 HL Weekend 2000 Model,2000,247000,235000,Bursa Gemlik,data/processed_images/car_20250130_125519_page_30_idx_41.jpg
Toyota,Corolla,1.4 D-4D Comfort Extra,Sahibinden Toyota Corolla 1.4 D-4D Comfort Extra 2011 Model,2011,284000,660000,Diyarbakır Bağlar,data/processed_images/car_20250130_125519_page_30_idx_42.jpg
Citroen,C-Elysee,1.6 Hdi Confort,Sahibinden Citroen C-Elysee 1.6 HDi Confort 2015 Model,2015,255000,485000,Gaziantep Nizip,data/processed_images/car_20250130_125519_page_30_idx_43.jpg
Toyota,Auris,1.4 D-4D Comfort Plus,Sahibinden Toyota Auris 1.4 D-4D Comfort Plus 2011 Model,2011,235000,675000,Ankara Çankaya,data/processed_images/car_20250130_125519_page_30_idx_44.jpg
Renault,Symbol,1.4 Dynamique,Sahibinden Renault Symbol 1.4 Dynamique 2007 Model,2007,205000,375000,Ankara Sincan,data/processed_images/car_20250130_125519_page_30_idx_45.jpg
Fiat,Linea,1.3 Multijet Active,Sahibinden Fiat Linea 1.3 Multijet Active 2007 Model,2007,148500,440000,Ankara Mamak,data/processed_images/car_20250130_125519_page_30_idx_46.jpg
Renault,Symbol,1.5 Dci Joy,Sahibinden Renault Symbol 1.5 dCi Joy 2016 Model,2016,115080,595000,Kütahya Tavşanlı,data/processed_images/car_20250130_125519_page_30_idx_47.jpg
Ford,Focus,1.6 Tdci Trend X,Sahibinden Ford Focus 1.6 TDCi Trend X 2014 Model,2014,176000,755000,Aksaray Merkez,data/processed_images/car_20250130_125519_page_30_idx_48.jpg
Skoda,Favorit,1.3 Lx,Sahibinden Skoda Favorit 1.3 LX 1993 Model,1993,324000,148000,Antalya Muratpaşa,data/processed_images/car_20250130_125519_page_30_idx_49.jpg
Audi,A3,Sportback 1.6 Ambiente,Sahibinden Audi A3 Sportback 1.6 Ambiente 1999 Model,1999,278000,215000,Erzurum Yakutiye,data/processed_images/car_20250130_125531_page_31_idx_0.jpg
Ford,C-Max,1.6 Tdci Trend,Sahibinden Ford C-Max 1.6 TDCi Trend 2004 Model,2004,270000,435000,Karabük Merkez,data/processed_images/car_20250130_125531_page_31_idx_1.jpg
Seat,Toledo,1.6 Signo,Sahibinden Seat Toledo 1.6 Signo 2004 Model,2004,218000,400000,Karaman Merkez,data/processed_images/car_20250130_125531_page_31_idx_2.jpg
Fiat,Linea,1.3 Multijet Pop,Sahibinden Fiat Linea 1.3 Multijet Pop 2016 Model,2016,110000,640000,Kayseri Pınarbaşı,data/processed_images/car_20250130_125531_page_31_idx_3.jpg
Citroen,C-Elysee,1.6 Hdi Confort,Sahibinden Citroen C-Elysee 1.6 HDi Confort 2016 Model,2016,174000,600000,Bursa Osmangazi,data/processed_images/car_20250130_125531_page_31_idx_4.jpg
Peugeot,301,1.5 Bluehdi Active,Sahibinden 1.5 BlueHDI 2020 Kazasız Değişen Boya Hasar yok,2020,120000,725000,Kahramanmaraş Andırın,data/processed_images/car_20250130_125531_page_31_idx_5.jpg
Opel,Vectra,1.6 Comfort,Sahibinden Opel Vectra 1.6 Comfort 2005 Model,2005,232382,460000,Kocaeli Gebze,data/processed_images/car_20250130_125531_page_31_idx_6.jpg
Hyundai,Accent,Blue 1.6 Crdi Mode Plus,Sahibinden Hyundai Accent Blue 1.6 CRDI Mode Plus 2017 Model,2017,150000,800000,Antalya Muratpaşa,data/processed_images/car_20250130_125531_page_31_idx_7.jpg
Fiat,Tipo,1.4 Sx Ie,Sahibinden Fiat Tipo 1.4 SX ie 1998 Model,1998,112500,235000,Kocaeli Kartepe,data/processed_images/car_20250130_125531_page_31_idx_8.jpg
Renault,Megane,1.6 Authentique,Sahibinden Renault Megane 1.6 Authentique 2004 Model,2004,186800,342000,Burdur Bucak,data/processed_images/car_20250130_125531_page_31_idx_9.jpg
Volkswagen,Golf,1.6 Tdi Trendline,Sahibinden Volkswagen Golf 1.6 TDi Trendline 2012 Model,2012,240000,755000,Ankara Keçiören,data/processed_images/car_20250130_125531_page_31_idx_10.jpg
Volkswagen,Golf,1.4 Tsi Comfortline,Sahibinden Volkswagen Golf 1.4 TSi Comfortline 2009 Model,2009,276000,690000,Aksaray Merkez,data/processed_images/car_20250130_125531_page_31_idx_11.jpg
Volkswagen,Polo,1.2 Tdi Trendline,Sahibinden Volkswagen Polo 1.2 TDi Trendline 2014 Model,2014,259000,565000,Kocaeli İzmit,data/processed_images/car_20250130_125531_page_31_idx_12.jpg
Ford,Focus,1.6 Tdci Titanium X,Sahibinden Ford Focus 1.6 TDCi Titanium X 2012 Model,2012,247000,700000,Adıyaman Besni,data/processed_images/car_20250130_125531_page_31_idx_13.jpg
Hyundai,Accent,Era 1.5 Crdi-Vgt Team,Sahibinden Hyundai Accent Era 1.5 CRDi-VGT Team 2009 Model 265.000 km Beyaz,2009,265000,420000,Kocaeli Çayırova,data/processed_images/car_20250130_125531_page_31_idx_14.jpg
Citroen,C4,1.6 Hdi Sx,Sahibinden Citroen C4 1.6 HDi SX 2008 Model,2008,278000,340000,Sakarya Serdivan,data/processed_images/car_20250130_125531_page_31_idx_15.jpg
Tata,Marina,1.4 Tdi Comfort,Sahibinden Tata Marina 1.4 TDI Comfort 2010 Model,2010,119000,265000,Bursa Osmangazi,data/processed_images/car_20250130_125531_page_31_idx_16.jpg
Fiat,Albea,Sole 1.4 Fire Dynamic,Sahibinden Fiat Albea Sole 1.4 Fire Dynamic 2009 Model,2009,69000,430000,İzmir Bergama,data/processed_images/car_20250130_125531_page_31_idx_17.jpg
Fiat,Linea,1.3 Multijet Pop,Sahibinden Fiat Linea 1.3 Multijet Pop 2015 Model,2015,176000,495000,Mersin Toroslar,data/processed_images/car_20250130_125531_page_31_idx_18.jpg
Mazda,626,2,Sahibinden Mazda 626 2.0 1994 Model,1994,270000,260000,Mersin Yenişehir,data/processed_images/car_20250130_125531_page_31_idx_19.jpg
Volkswagen,Bora,1.6 Pacific,Sahibinden Volkswagen Bora 1.6 Pacific 2005 Model,2005,213000,465000,Aksaray Merkez,data/processed_images/car_20250130_125531_page_31_idx_20.jpg
Ford,Focus,1.6 Collection,Sahibinden Ford Focus 1.6 Collection 2007 Model,2007,289330,500000,Muğla Marmaris,data/processed_images/car_20250130_125531_page_31_idx_21.jpg
Tofaş,Doğan,S,Sahibinden Tofaş Doğan S 1996 Model,1996,248000,195000,İstanbul Büyükçekmece,data/processed_images/car_20250130_125531_page_31_idx_22.jpg
Hyundai,Accent,1.5 Crdi Admire,DEĞİŞENSİZ-TRAMERSİZ- MUAYENE YENİ,2006,180000,376000,Mardin Nusaybin,data/processed_images/car_20250130_125531_page_31_idx_23.jpg
Peugeot,308,1.6 Bluehdi Active,Sahibinden Peugeot 308 1.6 BlueHdi Active 2015 Model,2015,236000,735000,Ankara Altındağ,data/processed_images/car_20250130_125531_page_31_idx_24.jpg
Renault,R,11 Rainbow,Sahibinden Renault R 11 Rainbow 1993 Model,1993,47000,150000,Ankara Keçiören,data/processed_images/car_20250130_125531_page_31_idx_25.jpg
Fiat,Palio,1.3 Multijet Active,Sahibinden Fiat Palio 1.3 Multijet Active 2007 Model,2007,236000,395000,Ankara Çankaya,data/processed_images/car_20250130_125531_page_31_idx_26.jpg
Fiat,Tipo,1.6 Slx,Sahibinden Fiat Tipo 1.6 SLX 1995 Model,1995,214000,210000,Sivas Merkez,data/processed_images/car_20250130_125531_page_31_idx_27.jpg
Mitsubishi,Carisma,1.6 Glx,Sahibinden Mitsubishi Carisma 1.6 GLX 1998 Model,1998,291000,185000,İstanbul Ataşehir,data/processed_images/car_20250130_125531_page_31_idx_28.jpg
Opel,Astra,1.4 Club,Sahibinden Opel Astra 1.4 Club 2008 Model,2008,223000,334750,Batman Merkez,data/processed_images/car_20250130_125531_page_31_idx_29.jpg
Fiat,Albea,1.3 Multijet Dynamic,Sahibinden Fiat Albea 1.3 Multijet Dynamic 2009 Model,2009,219400,375000,Antalya Kepez,data/processed_images/car_20250130_125531_page_31_idx_30.jpg
Renault,Megane,1.6 Coupe E,Sahibinden Renault Megane 1.6 Coupe e 2000 Model,2000,295000,200000,Mersin Yenişehir,data/processed_images/car_20250130_125531_page_31_idx_31.jpg
Renault,R,9 1.4 Broadway Gte,Sahibinden Renault R 9 1.4 Broadway GTE 1992 Model,1992,280000,179900,Kütahya Emet,data/processed_images/car_20250130_125531_page_31_idx_32.jpg
Renault,Clio,1.4 Rt,Sahibinden Renault Clio 1.4 RT 1996 Model,1996,290000,195000,Diyarbakır Kayapınar,data/processed_images/car_20250130_125531_page_31_idx_33.jpg
Renault,Megane,1.6 Dynamique,Sahibinden Renault Megane 1.6 Dynamique 2004 Model,2004,270000,395000,Kırşehir Merkez,data/processed_images/car_20250130_125531_page_31_idx_34.jpg
Audi,A6,Sedan 1.8 T Advance,Sahibinden Audi A6 Sedan 1.8 T Advance 2000 Model,2000,348000,580000,Mersin Yenişehir,data/processed_images/car_20250130_125531_page_31_idx_35.jpg
Fiat,Albea,1.2 Hl,Sahibinden Fiat Albea 1.2 HL 2002 Model,2002,215000,310000,Ankara Keçiören,data/processed_images/car_20250130_125531_page_31_idx_36.jpg
Opel,Vectra,1.6 Comfort,Sahibinden Opel Vectra 1.6 Comfort 2006 Model,2006,233000,465000,Kocaeli Gebze,data/processed_images/car_20250130_125531_page_31_idx_37.jpg
Renault,Clio,1.4 Rt,Sahibinden Renault Clio 1.4 RT 1997 Model,1997,287500,210000,Sivas Merkez,data/processed_images/car_20250130_125531_page_31_idx_38.jpg
Volkswagen,Polo,1.6 Tdi Comfortline,Sahibinden Volkswagen Polo 1.6 TDi Comfortline 2010 Model,2010,267000,520000,Konya Beyşehir,data/processed_images/car_20250130_125531_page_31_idx_39.jpg
Fiat,Uno,1.4 Ie Sx,Sahibinden Fiat Uno 1.4 ie SX 1998 Model,1998,195000,220000,Eskişehir Tepebaşı,data/processed_images/car_20250130_125531_page_31_idx_40.jpg
Hyundai,Accent,1.3 Admire,Sahibinden Hyundai Accent 1.3 Admire 2005 Model,2005,239000,330000,İstanbul Esenyurt,data/processed_images/car_20250130_125531_page_31_idx_41.jpg
Renault,Clio,1.0 Sce Joy,Sahibinden Renault Clio 1.0 SCe Joy 2021 Model,2021,48000,735000,Kocaeli Körfez,data/processed_images/car_20250130_125531_page_31_idx_42.jpg
Honda,Civic,1.6 I-Vtec Premium,Sahibinden Honda Civic 1.6 i-VTEC Premium 2011 Model,2011,173000,580000,Bursa Yıldırım,data/processed_images/car_20250130_125531_page_31_idx_43.jpg
Honda,Civic,1.4 I S,Sahibinden Honda Civic 1.4 i S 1998 Model,1998,307000,370000,İzmir Menemen,data/processed_images/car_20250130_125531_page_31_idx_44.jpg
Lada,Vega,1.5,Sahibinden Lada Vega 1.5 2004 Model,2004,297000,205000,Ankara Altındağ,data/processed_images/car_20250130_125531_page_31_idx_45.jpg
Volvo,S40,1.6,Sahibinden Volvo S40 1.6 2004 Model,2004,278111,325000,Ankara Mamak,data/processed_images/car_20250130_125531_page_31_idx_46.jpg
Kia,Cerato,1.6 Crdi Comfort,Sahibinden Kia Cerato 1.6 CRDi Comfort 2017 Model,2017,232000,850000,Diyarbakır Ergani,data/processed_images/car_20250130_125531_page_31_idx_47.jpg
Renault,Fluence,1.5 Dci Touch Plus,Sahibinden Renault Fluence 1.5 dCi Touch Plus 2013 Model,2013,271000,565000,Batman Kozluk,data/processed_images/car_20250130_125531_page_31_idx_48.jpg
Renault,Megane,1.6 Coupe Privilege,Sahibinden Renault Megane 1.6 Coupe Privilege 2000 Model,2000,320000,300000,Manisa Yunusemre,data/processed_images/car_20250130_125531_page_31_idx_49.jpg
Peugeot,207,1.4 Hdi Trendy,Sahibinden Peugeot 207 1.4 HDi Trendy 2010 Model,2010,181000,510000,Ankara Keçiören,data/processed_images/car_20250130_125535_page_32_idx_0.jpg
Dacia,Sandero,1.5 Dci Stepway,Sahibinden Dacia Sandero 1.5 dCi Stepway 2014 Model DÜŞÜK KM (EKONOMİ DOSTU YAKIT CİMRİSİ),2014,65000,780000,İstanbul Beylikdüzü,data/processed_images/car_20250130_125535_page_32_idx_1.jpg
Hyundai,Accent,Era 1.4 Start,Sahibinden Hyundai Accent Era 1.4 Start 2009 Model Kocaeli,2009,136000,529000,Zonguldak Ereğli,data/processed_images/car_20250130_125535_page_32_idx_2.jpg
Seat,Ibiza,1.4 Tdi S-Rider,Sahibinden Seat Ibiza 1.4 TDI S-Rider 2006 Model,2006,338000,282000,İzmir Bayraklı,data/processed_images/car_20250130_125535_page_32_idx_3.jpg
Volkswagen,Jetta,1.4 Tsi Trendline,Sahibinden Volkswagen Jetta 1.4 TSi Trendline 2012 Model,2012,160000,705000,Bursa Nilüfer,data/processed_images/car_20250130_125535_page_32_idx_4.jpg
Bmw,5 Serisi,528I Standart,Sahibinden BMW 5 Serisi 528i Standart 1997 Model,1997,425000,475000,İstanbul Ataşehir,data/processed_images/car_20250130_125535_page_32_idx_5.jpg
Opel,Corsa,1.7 Dti Comfort,Sahibinden Opel Corsa 1.7 DTi Comfort 2003 Model,2003,225100,219000,Konya Karatay,data/processed_images/car_20250130_125535_page_32_idx_6.jpg
Hyundai,Accent,Era 1.4 Team,Sahibinden Hyundai Accent Era 1.4 Team 2010 Model,2010,216000,390000,Tekirdağ Süleymanpaşa,data/processed_images/car_20250130_125535_page_32_idx_7.jpg
Renault,Safrane,2,Sahibinden Renault Safrane 2.0 2000 Model,2000,320000,260000,İstanbul Esenyurt,data/processed_images/car_20250130_125535_page_32_idx_8.jpg
Renault,Clio,1.2 Joy,Sahibinden Renault Clio 1.2 Joy 2014 Model,2014,133000,550000,Şırnak Merkez,data/processed_images/car_20250130_125535_page_32_idx_9.jpg
Toyota,Corolla,1.4 D-4D Sol,Sahibinden Toyota Corolla 1.4 D-4D Sol 2006 Model,2006,245000,560000,İzmir Bornova,data/processed_images/car_20250130_125535_page_32_idx_10.jpg
Renault,Megane,1.5 Dci Authentique,Sahibinden Renault Megane 1.5 dCi Authentique 2007 Model,2007,345000,369000,Mersin Mezitli,data/processed_images/car_20250130_125535_page_32_idx_11.jpg
Dacia,Logan,1.4 Ambiance,Sahibinden Dacia Logan 1.4 Ambiance 2010 Model,2010,242000,375000,Ağrı Merkez,data/processed_images/car_20250130_125535_page_32_idx_12.jpg
Peugeot,307,1.6 Xr,Sahibinden Peugeot 307 1.6 XR 2004 Model,2004,267000,385000,Van İpekyolu,data/processed_images/car_20250130_125535_page_32_idx_13.jpg
Renault,Clio,1.5 Dci Expression,Sahibinden Renault Clio 1.5 dCi Expression 2003 Model,2003,197000,275000,Gaziantep Şahinbey,data/processed_images/car_20250130_125535_page_32_idx_14.jpg
