marka,seri,model,baslik,yil,km,fiyat,il_ilce,image_path
Volkswagen,T-Roc,1.5 Tsi 150Ps R-Line Dsg,Volkswagen T-roc 1.5 Tsi 150ps R-line Dsg,2023,16851,1799900,İstanbul,data/processed_images/car_20250130_130034_page_27_idx_1.jpg
Volkswagen,T-Roc,1.5 Tsi 150Ps R-Line Dsg,Volkswagen T-roc 1.5 Tsi 150ps R-line Dsg,2023,7562,1790000,İstanbul,data/processed_images/car_20250130_130034_page_27_idx_2.jpg
Volkswagen,T-Roc,1.5 Tsi 150Ps R-Line Dsg,Volkswagen T-roc 1.5 Tsi 150ps R-line Dsg,2023,29537,1780000,Kocaeli,data/processed_images/car_20250130_130034_page_27_idx_3.jpg
Volkswagen,Golf,1.5 Etsi 150Ps Style Dsg,Volkswagen Golf 1.5 Etsi 150ps Style Dsg,2023,26034,1779500,İstanbul,data/processed_images/car_20250130_130034_page_27_idx_4.jpg
Volkswagen,Tiguan,1.5 Tsi Act 150 Ps Life Dsg,Volkswagen Tiguan 1.5 Tsi Act 150 Ps Life Dsg,2023,110218,1773000,Adana,data/processed_images/car_20250130_130034_page_27_idx_5.jpg
Volkswagen,T-Roc,1.5 Tsi 150Ps R-Line Dsg,Volkswagen T-roc 1.5 Tsi 150ps R-line Dsg,2023,17992,1770000,İstanbul,data/processed_images/car_20250130_130034_page_27_idx_6.jpg
Volkswagen,Golf,1.5 Etsi 150Ps Style Dsg,Volkswagen Golf 1.5 Etsi 150ps Style Dsg,2023,23012,1760000,İstanbul,data/processed_images/car_20250130_130034_page_27_idx_7.jpg
Volkswagen,Golf,1.0 Etsi 110Ps R-Line Dsg,Volkswagen Golf 1.0 Etsi 110ps R-line Dsg,2023,24089,1749000,İzmir,data/processed_images/car_20250130_130034_page_27_idx_8.jpg
Volkswagen,Passat Variant,1.5 Tsi Act 150 Ps Business Dsg,Volkswagen Passat Variant 1.5 Tsi Act 150 Ps Business Dsg,2023,17889,1735500,Adana,data/processed_images/car_20250130_130034_page_27_idx_9.jpg
Volkswagen,T-Roc,1.5 Tsi 150Ps R-Line Dsg,Volkswagen T-roc 1.5 Tsi 150ps R-line Dsg,2023,51112,1720000,İstanbul,data/processed_images/car_20250130_130034_page_27_idx_10.jpg
Volkswagen,T-Roc,1.5 Tsi 150Ps R-Line Dsg,Volkswagen T-roc 1.5 Tsi 150ps R-line Dsg,2023,33301,1700000,Kayseri,data/processed_images/car_20250130_130034_page_27_idx_11.jpg
Volkswagen,Taigo,1.5 Tsi 150Ps R-Line Dsg,Volkswagen Taigo 1.5 Tsi 150ps R-line Dsg,2023,13420,1689950,İzmir,data/processed_images/car_20250130_130036_page_28_idx_0.jpg
Volkswagen,Golf,1.0 Etsi 110Ps Style Dsg,Volkswagen Golf 1.0 Etsi 110ps Style Dsg,2023,8587,1687500,İstanbul,data/processed_images/car_20250130_130036_page_28_idx_1.jpg
Volkswagen,Passat Variant,1.5 Tsi Act 150 Ps Business Dsg,Volkswagen Passat Variant 1.5 Tsi Act 150 Ps Business Dsg,2023,20271,1669900,Denizli,data/processed_images/car_20250130_130036_page_28_idx_2.jpg
Volkswagen,T-Roc,1.5 Tsi 150Ps Style Dsg,Volkswagen T-roc 1.5 Tsi 150ps Style Dsg,2023,39328,1650000,Şanlıurfa,data/processed_images/car_20250130_130036_page_28_idx_3.jpg
Volkswagen,Taigo,1.0 Tsi 110Ps R-Line Dsg,Volkswagen Taigo 1.0 Tsi 110ps R-line Dsg,2023,28562,1648000,Kayseri,data/processed_images/car_20250130_130036_page_28_idx_4.jpg
Volkswagen,T-Roc,1.5 Tsi 150Ps Style Dsg,Volkswagen T-roc 1.5 Tsi 150ps Style Dsg,2023,42936,1630000,Bursa,data/processed_images/car_20250130_130036_page_28_idx_5.jpg
